max_tokens,response,is_correct,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency
100,,False,33,100,100,133,4.08200478553772
100,,False,33,100,100,133,4.60705828666687
100,,False,33,100,100,133,4.296870470046997
100,,False,33,100,100,133,3.7590925693511963
100,,False,33,100,100,133,4.009463787078857
100,,False,33,100,100,133,4.79332160949707
100,,False,33,100,100,133,4.811772108078003
100,,False,33,100,100,133,3.958613395690918
100,,False,33,100,100,133,6.573392391204834
100,,False,33,100,100,133,4.141211032867432
200,,False,33,200,200,233,5.37201189994812
200,,False,33,200,200,233,5.723289728164673
200,,False,33,200,200,233,5.023861646652222
200,9.11,False,33,143,128,176,4.95977258682251
200,,False,33,200,200,233,8.483837127685547
200,,False,33,200,200,233,5.312133312225342
200,,False,33,200,200,233,5.887871742248535
200,,False,33,200,200,233,5.615816593170166
200,,False,33,200,200,233,5.15637469291687
200,,False,33,200,200,233,5.083881616592407
300,,False,33,300,300,333,6.403142929077148
300,,False,33,300,300,333,7.59900426864624
300,9.8,True,33,207,192,240,5.9178338050842285
300,,False,33,300,300,333,7.097309589385986
300,,False,33,300,300,333,5.166199684143066
300,,False,33,300,300,333,6.347339391708374
300,,False,33,300,300,333,6.368570566177368
300,,False,33,300,300,333,5.851130485534668
300,9.8,True,33,143,128,176,8.062856912612915
300,,False,33,300,300,333,5.7964794635772705
400,,False,33,400,400,433,8.607972860336304
400,9.8,True,33,271,256,304,5.65529727935791
400,9.11,False,33,335,320,368,11.369831323623657
400,,False,33,400,400,433,20.479117393493652
400,9.8,True,33,271,256,304,6.771469593048096
400,9.8,True,33,207,192,240,6.010995149612427
400,,False,33,400,400,433,7.946396827697754
400,9.11,False,33,271,256,304,10.498589992523193
400,,False,33,400,400,433,8.337640762329102
400,,False,33,400,400,433,11.575162410736084
500,,False,33,500,500,533,8.776284456253052
500,,False,33,500,500,533,8.730866193771362
500,9.11,False,33,271,256,304,10.779846906661987
500,,False,33,500,500,533,7.65776252746582
500,,False,33,500,500,533,22.2274489402771
500,,False,33,500,500,533,8.653903484344482
500,,False,33,500,500,533,10.207946300506592
500,,False,33,500,500,533,10.284732103347778
500,9.11,False,33,271,256,304,10.100138187408447
500,9.8,True,33,207,192,240,7.5689451694488525
